title,references
"No place to unload: A preliminary analysis of the prevalence, risk factors, and consequences of ambulance diversion","American College of Emergency PhysiciansHospital and emergency department overcrowdingAnn Emerg Med(1990)-::-DP Andrulis et al.Emergency departments and crowding in United States teaching hospitalsAnn Emerg Med(1991)-::-RT Cadigan et al.Predicting demand for emergency ambulance servicesAnn Emerg Med(1989)-::-C CalvertTrauma centers need emergency help themselvesSan Jose Mercury News(June 29, 1988)-::-L Goering13 Hospitals forced to turn away patientsChicago Tribune(January 4, 1990)-::-L GoldfarbOvercrowding hits emergency roomsUSA Today(September 13, 1989)-::-M SpecterEmergency rooms in crisisWashington Post(September 14, 1989)"
Overcrowding in the ED: An international symptom of health care system failure,CE Saunders et al.Modeling emergency department operations using advanced computer stimulation systemsAnn Emerg Med(1989)-::-L Graff et al.Emergency physician workload: A time studyAnn Emerg Med(1993)-::-F-Y Shih et al.ED overcrowding in Taiwan; Facts and strategiesAm J Emerg Med(1999)-::-DP Andrulis et al.Emergency departments and crowding in United States teaching hospitalsAnn Emerg Med(1991)-::-S Lynn et al.Critical decision making: Managing the emergency department in an overcrowded hospitalAnn Emerg Med(1991)-::-DG Murphy et al.The utility of extended emergency department treatment of asthma: An analysis of improvement in peak expiratory flow rate as a function of timeAnn Emerg Med(1989)-::-LG Graff et al.Impact on the care of the emergency department chest pain patient from the Chest Pain Evaluation Registry (CHEPER) studyAm J Cardiol(1997)-::-J Brillman et al.American College of Emergency Physicians Section of Observation Services: Management of observation unitsAnn Emerg Med(1995)-::-L Graff et al.American College of Emergency Physicians: Chest pain units in emergency departments—A report from the short term observation services sectionAm J Cardiol(1995)
Management of Observation Units,"DM Yealy et al.A survey of observation units in the United StatesAm J Emerg Med(1989)-::-GA Landers et al.Observation ward utilizationJACEP(1975)-::-RG FarrellUse of an observation ward in a community hospitalAnn Emerg Med(1982)-::-LS ZunObservation units: Boom or bust for emergency medicineJ Emerg Med(1990)-::-J Talbot-Stern et al.Catheter aspiration for simple pneumothoraxJ Emerg Med(1986)-::-P Vallee et al.Sequential treatment of simple pneumothoraxAnn Emerg Med(1988)-::-PL HennemanThe use of an emergency department observation unit in the management of abdominal traumaAnn Emerg Med(1989)-::-LG Graff et al.Probability of appendicitis before and after observationAnn Emerg Med(1991)-::-ACEP Practice Management Committee, American College of Emergency PhysiciansManagement of observation unitsAnn Emerg Med(1988)-::-WJ MorganFunctions of the observation ward in the accident and emergency departmentBMJ(1981)-::-L Neville et al.Short stay unit solves emergency department overcrowdingDimensions Health Serv(1983)-::-LJ Tabenhaus et al.The holding area: New arm of ED"
Emergency department complaints: A one-year analysis,GrayLC Consumer satisfaction with physician provided service: A panel studySoc Sci Med(1980)-::-TaliaferroE A case study in management: The patient complaintJ Emer Med(1983)-::-ThompsonRE  et al.Integrating patient concerns into quality assurance activitiesQRB(1982)-::-BreslauN What do patient statements regarding doctors' medical care signify?Medical Care(1981)
The effectiveness of an organized emergency department follow-up system,AnwarRAH  et al.The continuing emergency care clinic: Improving patient compliance with followup careJACEP(1977)-::-BrodskyL  et al.Extension of emergency medical care: Continuing emergency care clinicJACEP(1978)-::-WaggonerDM  et al.Physician influence on patient compliance: A clinical trialAnn Emerg Med(1981)-::-TrautleinJJ  et al.Malpractice in the emergency department — Review of 200 casesAnn Emerg Med(1984)-::-RiggsL Emergency medicine: A vigorous new specialtyN Engl J Med(1981)-::-OsterweisM  et al.Administering patient satisfaction questionnaires at diverse ambulatory care sitesJ Amb Care Man(1979)-::-LeitzellJD Emergency medicine: An uncertain futureN Engl J Med(1981)-::-BrookRH  et al.Effectiveness of patient care in an emergency roomN Engl J Med(1970)
Pediatric emergency department complaints: A three-year analysis of sources and trends,TaliaferroE A case study in management: The patient complaintJ Emerg Med(1983)-::-SchwartzLR  et al.Emergency department complaints: A one-year analysisAnn Emerg Med(1987)-::-DershewitzRA  et al.Patients who leave a pediatric emergency department without treatmentAnn Emerg Med(1986)
"Trends in the use and capacity of California's emergency departments, 1990-1999","RW Derlet et al.Overcrowding in the nation's emergency departments: complex causes and disturbing effectsAnn Emerg Med(2000)-::-J. ApplebyER conditions criticalUSA Today. News Section A(February 4, 2000)-::-JE. AllenED overcrowding spreads into crisis territory. Los Angeles TimesSpecial Section(May 14, 2001)-::-LR Brewster et al.Emergency room diversions: a symptom of hospitals under stress. Center for Studying Health System Change(November 2000)-::-D. EisenbergFlu victims are flooding into emergency rooms and discovering another healthcare crisis thereTime(January 31, 2000)-::-C. HoffmanPatience lost in overcrowded ERs—packed ERs fraught with violence, long wait times-::-J. MatthewsState ERs in crisis, Senate hearing told. Sacramento BeeSection A(March 23, 2000)-::-N Shute et al.Crisis in the ERUS News and World Report(September 10, 2001)-::-M. Sugerman“Crisis in the ER” [television news series](May 20, 2001)-::-A. KazziGive emergency medicine true departmental controlWest J Med(2000)-::-RW Derlet et al.Frequent overcrowding in US emergency departmentsAcad Emerg Med(2001)-::-H. SwanCMA backs legislation to save state's crumbling ER system: white paper shows $400 million deficit-::-P ViccellioED overcrowding: right diagnosis, wrong etiology, no treatmentEmergency Medical News(August 2000)-::-D. AronerAn act to add Sections 1301 and 1302 to the Health and Safety Code, relating to health facilities, in Section 1300(February 12, 1999)-::-J DunnEssential Trauma and Emergency Care Act, in The Health and Safety Code, the Insurance Code, and the Welfare and Institutions Code. 2001(March 15, 2001)-::-LF. McCraig et al.1996 Emergency Department Summary. Advance data from vital and health statistics; No. 293(1997)"
Waiting times in California's emergency departments,"B AsplinA room with a view: On-call specialist panels and other health policy challenges in the emergency departmentAnn Emerg Med(2001)-::-RW Derlet et al.Overcrowding in the nation's emergency departments: Complex causes and disturbing effectsAnn Emerg Med(2000)-::-S Lambe et al.Trends in the use and capacity of California's emergency departments, 1990-1999Ann Emerg Med(2002)-::-D Tandberg et al.Time series forecasts of emergency department patient volume, length of stay, and acuityAnn Emerg Med(1994)-::-M Waxman et al.Are diagnostic testing and admission rates higher in non-English versus English speaking patients seen in the emergency department?Ann Emerg Med(2000)-::-N Shute et al.Crisis in the ERUS News and World Report(September 10, 2001)-::-J ApplebyER conditions criticalUSA Today(February 4, 2000)-::-JE AllenED overcrowding spreads into crisis territoryLos Angeles Times(May 14, 2001)-::-D EisenbergFlu victims are flooding into emergency rooms and discovering another healthcare crisis there. Time-::-C HoffmanPatience lost in overcrowded ERs—packed ERs fraught with violence, long wait times-::-RW Derlet et al.Frequent overcrowding in US emergency departmentsAcad Emerg Med(2001)-::-A KazziGive emergency medicine true departmental controlWest J Med(2000)-::-J. DunnEssential Trauma and Emergency Care Act, in The Health and Safety Code, the Insurance Code, and the Welfare and Institutions Code(2001)-::-D. AronerAn act to add Sections 1301 and 1302 to the Health and Safety Code, relating to health facilities, in Section 1300 (AB 421)(February 12, 1999)"
The Relationship Between Reported Problems and Patient Summary Evaluations of Hospital Care,
Oligoanalgesia in the emergency department,FL CohenPostsurgical pain relief: Patients' status and nurses' medication and choicesPain(1980)-::-SW PerryUnder medication for pain on a burns unit general hospitalPsychiatry(1984)-::-RD StewartNitrous oxide sedation/analgesia in emergency medicineAnn Emerg Med(1985)-::-KL Austin et al.Multiple intramuscular injections: A major source of variability in analgesic response to meperidinePain(1980)-::--::-RG Addison et al.Symptomatic care pending diagnosis-::-RD Marks et al.Undertreatment of medical inpatients with narcotic analgesicsAnn Intern Med(1973)-::-K Sirwatanakul et al.Analysis of narcotic usage in the treatment of postoperative painJAMA(1983)
Perceptions and satisfaction with Emergency Department care,B LinnBurn patient's evaluation of emergency department careAnn Emerg Med(1982)-::-L Schwartz et al.Emergency department complaints: a one year analysisAnn Emerg Med(1987)-::-B Dennis et al.Emergency department complaint frequency: variation by patient median household incomeAnn Emerg Med(1992)-::-H Bjorvell et al.Patient's perceptions of the health care received in an emergency departmentAnn Emerg Med(1991)-::-S Krishel et al.Effect of emergency department information on patient satisfactionAnn Emerg Med(1993)-::-B Bursch et al.Emergency department satisfaction: what matters most?Ann Emerg Med(1993)-::-P Cleary et al.Patient satisfaction as an indicator of quality careInquiry(1988)-::-A Davis et al.Involving consumers in quality of care assessmentHealth Affair(1988)-::-M Hunt et al.A review of 7 years of complaints in an inner city accident and emergency departmentArch Emerg Med(1991)
Emergency department analgesia for fracture pain,"JE WilsonOligoanalgesia in the emergency departmentAm J Emerg Med(1989)-::-LR Friedland et al.Emergency department analgesic use in pediatric trauma victims with fracturesAnn Emerg Med(1994)-::-S Stone et al.Antibiotic prescribing for patients with colds, upper respiratory tract infections, and bronchitis: a national study of hospital-based emergency departmentsAnn Emerg Med(2000)-::-KH ToddPain assessment and ethnicityAnn Emerg Med(1996)-::-SM Selbst et al.Analgesic use in the emergency departmentAnn Emerg Med(1990)-::-JS Jones et al.Age as a risk factor for inadequate emergency department analgesiaAm J Emerg Med(1996)-::-MA Hostetler et al.Parenteral analgesic and sedative use among ED patients in the United States: combined results from the National Hospital Ambulatory Medical Care Survey (NHAMCS) 1992-1997Am J Emerg Med(2002)-::-M Buchholz et al.Pain scores in infants: a modified infant pain scale versus visual analogueJ Pain Symptom Manage(1998)-::-BM Pena et al.Adverse events of procedural sedation and analgesia in a pediatric emergency departmentAnn Emerg Med(1999)-::-M Reichl et al.Use of analgesia in severe pain in the accident and emergency departmentArch Emerg Med(1987)-::-EM Petrack et al.Pain management in the emergency department: patterns of analgesic utilizationPediatrics(1997)-::-Comprehensive Accreditation Handbook for Hospitals: The Official Handbook(2001)-::-US Food and Drug AdministrationThe national drug code directory-::-PS Levy et al.Sampling of Populations: Methods and Applications-::-T Lumley et al.The importance of the normality assumption in large public health data setsAnn Rev Public Health(2002)"
Analgesia delivery in the ED,"D.E. Fosnocht et al.Changing attitudes about pain and pain control in emergency medicineEmerg Med Clin North Am(2005)-::-D.B. DiercksDoor-to-ECG time in patients with chest pain presenting to the EDAm J Emerg Med(2006)-::-M.F. Nicol et al.“Why haven't you taken any pain killers?” A patient focused study of the walking wounded in an urban emergency departmentEmerg Med J(2003)-::-Meikle J.A&E leaves patients in pain too long. The Guardian. August 8, 2005....-::-J. Miner et al.Patient and physician perceptions as risk factors for oligoanalgesia: a prospective observational study of the relief of pain in the emergency departmentAcad Emerg Med(2006)-::-BAEM—Clinical Effectiveness Committee. Guidelines for the management of pain in adults, 2005. Available at...-::-Clinical Standards in A&E Departments. Clinical Effectiveness Committee. BAEM January 2002. Available at..."
Inadequate analgesia in emergency medicine,"P Tanabe et al.A prospective study of ED pain management practices and the patient's perspectiveJ Emerg Nurs.(1999)-::-V Guru et al.The patient versus caregiver perception of acute pain in the emergency departmentJ Emerg Med.(2000)-::-JE Wilson et al.Oligoanalgesia in the emergency departmentAm J Emerg Med.(1989)-::-SM Selbst et al.Analgesic use in the emergency departmentAnn Emerg Med.(1990)-::-TJ Jantos et al.Analgesic practice for acute orthopedic trauma pain in Costa Rican emergency departmentsAnn Emerg Med.(1996)-::-J Alexander et al.Underuse of analgesia in very young pediatric patients with isolated painful injuriesAnn Emerg Med.(2003)-::-JC Brown et al.Emergency department analgesia for fracture painAnn Emerg Med.(2003)-::-LJ White et al.Prehospital use of analgesia for suspected extremity fracturesPrehosp Emerg Care(2000)-::-CC McEachin et al.Few emergency medical services patients with lower-extremity fractures receive prehospital analgesiaPrehosp Emerg Care(2002)-::-RA Drayer et al.Barriers to better pain control in hospitalized patientsJ Pain Symptom Manage(1999)-::-M Choiniere et al.Comparisons between patients' and nurses' assessment of pain and medication efficacy in severe burn injuriesPain(1990)-::-A HarrisonComparing nurses' and patients' pain evaluations: a study of hospitalized patients in KuwaitSoc Sci Med.(1993)-::-RM McNamara et al.Geriatric emergency medicine: a survey of practicing Emergency PhysiciansAnn Emerg Med.(1992)-::-GM Vilke et al.Emergency department patient knowledge of medicationsJ Emerg Med.(2000)-::-L Chan et al.Do patients receive adequate pain control after discharge from the ED?Am J Emerg Med.(1998)-::-JB JonesAssessment of pain management skills in emergency medicine residents: the role of a pain education programJ Emerg Med.(1999)-::-F LoVecchio et al.The use of analgesics in patients with acute abdominal painJ Emerg Med.(1997)-::-MA Graber et al.Informed consent and general surgeons' attitudes toward the use of pain medication in the acute abdomenAm J Emerg Med.(1999)-::-JM Wolfe et al.Analgesic administration to patients with an acute abdomen: a survey of emergency medicine physiciansAm J Emerg Med.(2000)-::-RL Kravitz et al.Bedside charting of pain levels in hospitalized patients with cancer: a randomized controlled trialJ Pain Symptom Manage(1996)-::-M Bookbinder et al.Implementing national standards for cancer pain management: program model and evaluationJ Pain Symptom Manage(1996)-::-AR Jadad et al.Evidence-based emergency medicine: ten challenges at the intersection of clinical research, evidence-based medicine, and pain reliefAnn Emerg Med.(2000)-::-M Afilalo et al.Current pain-control practices and researchAnn Emerg Med.(1996)-::-JS Mogil et al.Heritability of nociception, 11: “types” of nociception revealed by genetic correlation analysisPain(1999)-::-GR Strange et al.Use of emergency departments by elderly patients: projections from a multicenter databaseAcad Emerg Med.(1992)-::-KS HayesAdding medications in the emergency department: effect on knowledge of medications in older adultsJ Emerg Nurs.(1999)-::-K Della-Giustina et al.Emergency department evaluation and treatment of pediatric orthopedic injuriesEmerg Med Clin North Am.(1999)-::-JD TobiasWeak analgesics and non-steroidal anti-inflammatory agents in the management of children with acute painPediatr Clin North Am.(2000)-::-LN Zonneveld et al.Accuracy of children's pain memoriesPain(1997)-::-BM Peña et al.Adverse events of procedural sedation and analgesia in a pediatric emergency departmentAnn Emerg Med.(1999)-::-RK Portenoy et al.Management of cancer painLancet(1999)-::-JS Jones et al.Age as a risk factor for inadequate emergency department analgesiaAm J Emerg Med.(1996)-::-KH Todd et al.Ethnicity and analgesic practiceAnn Emerg Med.(2000)-::-KA Raftery et al.Gender-associated differences in emergency department pain managementAnn Emerg Med.(1995)-::-RM Marks et al.Undertreatment of medical inpatients with narcotic analgesicsAnn Intern Med.(1973)-::-J Porter et al.Addiction rare in patients treated with narcoticsN Engl J Med.(1980)-::-RN Jamison et al.Opioid therapy for chronic noncancer back pain: a randomized prospective studySpine(1998)-::-P NourjahNational Hospital Ambulatory Medical Care Survey: 1997 emergency department summaryAdv Data(1999)-::-LM Lewis et al.Are emergency physicians too stingy with analgesics?South Med J.(1994)-::-LR Friedland et al.Pediatric emergency department analgesic practicePediatr Emerg Care(1997)-::-PJ McGrath et al.Psychological barriers to optimal pain management in infants and childrenClin J Pain(1996)-::-CB TuttleDrug management of pain in cancer patientsCan Med Assoc J.(1985)-::-EM Petrack et al.Pain management in the emergency department: patterns of analgesic utilizationPediatrics(1997)-::-J Vassiliadis et al.Factors influencing prehospital and emergency department analgesia administration to patients with femoral neck fracturesEmerg Med.(2003)-::-RK Portenoy et al.Patterns of analgesic prescription and consumption in a university-affiliated community hospitalArch Intern Med.(1985)-::-M Hauswald et al.Prescribing analgesics: the effect of patient age and physician specialtyPediatr Emerg Care(2001)-::-Core Content Task Force II, Hockberger RS, Binder LS, Graber MA. The model of the clinical practice of emergency...-::-RL Spedding et al.Who gives pain relief to children?J Accid Emerg Med.(1999)-::-Use of opioid analgesics for the treatment of chronic noncancer pain: a consensus statement and guidelines from the...-::-M MitkaExperts debate widening use of opioid drugs for chronic nonmalignant painJAMA(2003)"
Ethnicity and analgesic practice,J Wilson et al.Oligoanalgesia in the emergency departmentAm J Emerg Med(1989)-::-SM Selbst et al.Analgesic use in the emergency departmentAnn Emerg Med(1990)-::-J Ducharme et al.A prospective blinded study on emergency pain assessment and therapyJ Emerg Med(1995)-::-B Pfefferbaum et al.The influence of culture on pain in Anglo and Hispanic children with cancerJ Am Acad Child Adolesc Psychiatry(1990)-::-HP GreenwaldInterethnic differences in pain perceptionPain(1991)-::-J DucharmeEmergency pain management: a Canadian Association of Emergency Physicians (CAEP) Consensus DocumentJ Emerg Med(1994)-::-SE Ward et al.Patient satisfaction and pain severity as outcomes in pain management: a longitudinal view of one setting’s experienceJ Pain Symptom Manage(1996)-::-M Bookbinder et al.Implementing national standards for cancer pain management: program model and evaluationJ Pain Symptom Manage(1996)-::-RL Kravitz et al.Bedside charting of pain levels in hospitalized patients with cancer: a randomized controlled trialJ Pain Symptom Manage(1996)
Age as a risk factor for inadequate emergency department analgesia,SM Selbst et al.Analgesic use in the emergency departmentAnn Emerg Med(1990)-::-LR Friedland et al.Emergency department analgesic use in pediatric trauma victims with fracturesAnn Emerg Med(1994)-::-JE Wilson et al.Oligoanalgesia in the emergency departmentAm J Emerg Med(1989)-::-JS BenderApproach to the acute abdomenMed Clin North Am(1989)-::-HC Roberts et al.Pain and its control in patients with fractures of the femoral neck while awaiting surgeryInjury(1994)-::-GW HanksThe clinical usefulness of agonist-antagonist opoid analgesics in chronic painDrug Alcohol Depend(1987)-::-WT BeaverImpact of non-narcotic oral analgesics on pain managementAm J Med(1988)-::--::-KH Todd et al.Ethnicity as a risk factor for inadequate emergency department analgesiaJAMA(1993)-::-J Kelly et al.Pain management in the elderly
Factors Associated With Delay to Opiate Analgesia in Emergency Departments,
Disparities in Analgesia and Opioid Prescribing Practices for Patients With Musculoskeletal Pain in the Emergency Department,T Rupp et al.Inadequate analgesia in emergency medicineAnn Emerg Med(2004)-::-KH Todd et al.Ethnicity and analgesic practiceAnn Emerg Med(2000)-::-SM Selbst et al.Analgesic use in the emergency departmentAnn Emerg Med(1990)-::-JC Brown et al.Emergency department analgesia for fracture painAnn Emerg Med(2003)-::-KA Raftery et al.Gender-associated differences in emergency department pain managementAnn Emerg Med(1995)-::-EH Gilbert et al.Chart reviews in emergency medicine research: where are the methods?Ann Emerg Med(1996)-::-JH Tamayo-Sarver et al.Variability in emergency decisionmaking about prescribing opioid analgesicsAnn Emerg Med(2004)-::-M Fry et al.A prospective study of nurse initiated panadeine forte: expanding pain management in the EDAccid Emerg Nurs(2004)
Oligoanalgesia in ED patients with isolated extremity injury without documented fracture,J.E. Wilson et al.Oligoanalgesia in the emergency departmentAm J Emerg Med(1989)-::-J.S. Jones et al.Age as a risk factor for inadequate emergency department analgesiaAm J Emerg Med(1996)
Overcrowding in emergency departments: Increased demand and decreased capacity,"S Lambe et al.Trends in the use and capacity of California's emergency departments, 1990-1999Ann Emerg Med(2002)-::-LA Johnson et al.The emergency department on-call backup crisis: finding remedies for a serious public health problemAnn Emerg Med(2001)-::-T. TaylorEmergency services crisis of 2000: the Arizona experienceAcad Emerg Med(2001)-::-P. ViccelloEmergency department overcrowding: an action planAcad Emerg Med(2001)-::-RW Derlet et al.Frequent overcrowding in US emergency departmentsAcad Emerg Med(2001)-::-RW Derlet et al.Overcrowding in the nation's emergency department: complex causes and disturbing effectsAnn Emerg Med(2000)-::-J. FisherFull emergency rooms send ambulances in circlesThe Sacramento Bee(April 17, 2000)"
"Emergency Department Crowding: Old Problem, New Solutions","A. Sacchetti et al.Contribution of ED admissions to inpatient hospital revenueAm J Emerg Med(2002)-::-P. Krochmal et al.Increased health care costs associated with ED overcrowdingAm J Emerg Med(1994)-::-M.D. Bayley et al.The financial burden of emergency department congestion and hospital crowding for chest pain patients awaiting admissionAnn Emerg Med(2005)-::-B.R. Asplin et al.A conceptual model of emergency department crowdingAnn Emerg Med(2003)-::-L.I. Solberg et al.Emergency department crowding: consensus development of potential measuresAnn Emerg Med(2003)-::-D.J. Magid et al.The quality gap: searching for the consequences of emergency department crowdingAnn Emerg Med(2004)-::-O. Miro et al.Hospital mortality and staff workloadLancet(2000)-::-L.D. Richardson et al.Emergency department crowding as a health policy issue: past development, future directionsAnn Emerg Med(2002)-::-M.J. Schull et al.Emergency department crowding and thrombolysis delays in acute myocardial infarctionAnn Emerg Med(2004)-::-C.W. Burt et al.Trends in hospital emergency department utilization: United States, 1992–99. National Center for Health StatisticsVital Health Stat(2001)-::-L.F. McCaig et al.National Hospital Ambulatory Medical Care Survey: 2003 emergency department summary. Advance data from vital health and statistics; no 358(2005)-::-American College of Emergency Physicians. Emergency medicine statistical profile. Available at: www.acep.org. Accessed...-::-L.D. Richardson et al.America's health care safety net: intact or unraveling?Acad Emerg Med(2001)-::-L.D. Richardson et al.Access to care: a review of the emergency medicine literatureAcad Emerg Med(2001)-::-R.M. Weinick et al.Monitoring the safety net: data challenges for emergency departmentsAcad Emerg Med(2001)-::-Defending America's safety net(1999)-::-E.J. Gallagher et al.The etiology of medical gridlock: causes of emergency department overcrowding in New York CityJ Emerg Med(1990)-::-Emergency departments: unevenly affected by growth and change in patient use(1993)-::-Hospital emergency departments: crowded conditions vary among hospitals and communities(2003)-::-D.B. RichardsonThe access-block effect: relationship between delay to reaching an inpatient bed and inpatient length of stayMed J Aust(2002)-::-D.M. Fatovich et al.Access block causes emergency department overcrowding and ambulance diversion in Perth, Western AustraliaEmerg Med J(2005)-::-P. Sprivulis et al.Ambulance diversion is not associated with low acuity patients attending Perth metropolitan emergency departmentsEmerg Med Australasia(2005)-::-P. Cunningham et al.Insured Americans drive surge in emergency department visits. Issue brief No. 70(2003)-::-S.C. HuClinical and demographic characteristics of adult emergency patients at the Taipei Veterans General HospitalJ Formos Med Assoc(1994)-::-A. Bagust et al.Dynamics of bed use in accommodating emergency admissions: stochastic simulation modelBMJ(1999)-::-O. Miro et al.Decreased health care quality associated with emergency department overcrowdingEur J Emerg Med(1999)"
Patients Who Leave Emergency Departments Without Being Seen by a Physician: Magnitude of the Problem in Los Angeles County,DP Andrulis et al.Emergency departments and crowding in United States teaching hospitalsAnn Emerg Med(1991)-::-SG Lynn et al.Critical decision making: Managing the emergency department in an overcrowded hospitalAnn Emerg Med(1991)-::-American College of Emergency PhysiciansHospital and emergency department overcrowdingAnn Emerg Med(1990)-::-GA Pane et al.Health care access problems of medically indigent emergency department walk-in patientsAnn Emerg Med(1991)-::-RA Lowe et al.Indigent health care in emergency medicine: An academic perspectiveAnn Emerg Med(1991)-::-RW Derlet et al.Refusing care to patients who present to an emergency departmentAnn Emerg Med(1990)
Emergency department crowding: Consensus development of potential measures,"RW DerletOvercrowding in emergency departments: increased demand and decreased capacityAnn Emerg Med(2002)-::-RW Derlet et al.Overcrowding in the nation's emergency departments: complex causes and disturbing effectsAnn Emerg Med(2000)-::-BR Asplin et al.A conceptual model of emergency department crowdingAnn Emerg Med(2003)-::-H Hemingway et al.Waiting for coronary angiography: is there a clinically ordered queue?Lancet(2000)-::-RW Derlet et al.Frequent overcrowding in US emergency departmentsAcad Emerg Med(2001)-::-O Miro et al.Decreased health care quality associated with emergency department overcrowdingEur J Emerg Med(1999)-::-JR Richards et al.Survey of directors of emergency departments in California on overcrowdingWest J Med(2000)-::-General Accounting OfficeHospital Emergency Departments: Crowded Conditions Vary Among Hospitals and Communities(2003)-::-JB McCabeEmergency department overcrowding: a national crisisAcad Med(2001)-::-S Schneider et al.Rochester, New York: a decade of emergency department overcrowdingAcad Emerg Med(2001)-::-E Litvak et al.Emergency department diversion: causes and solutionsAcad Emerg Med(2001)-::-MJ Schull et al.Emergency department overcrowding following systematic hospital restructuring: trends at twenty hospitals over ten yearsAcad Emerg Med(2001)"
Prospective Identification and Triage of Nonemergency Patients Out of an Emergency Department: A 5-Year Study,"American College of Emergency PhysiciansHospital and emergency department overcrowdingAnn Emerg Med(1990)-::-American College of Emergency PhysiciansMeasures to deal with emergency department overcrowdingAnn Emerg Med(1990)-::-RA HellsternThe impact of ambulatory care centers on emergency medicineEmerg Med Clin North Am(1987)-::-RW Derlet et al.Refusing care to patients who present to an emergency departmentAnn Emerg Med(1990)-::-RW Derlet et al.Triage of patients out of the emergency department: Three-year experienceAm J Emerg Med(1992)-::-HW Meislin et al.Fast track: Urgent care within a teaching hospital emergency department: Can it work?Ann Emerg Med(1988)-::-DA Berman et al.Computerized algorithm-directed triage in the emergency departmentAnn Emerg Med(1989)-::-KT Sivertson et al.Emergency department division of nonurgent patients to an off-site walk-in facilityAnn Emerg Med(1989)-::-WA BerkEmergency medicine in the third world: Two years as director of the Kingston, Jamaica public hospital casualty departmentAnn Emerg Med(1989)-::-R Crowell et al.Emergency medicine in China— 1987Ann Emerg Med(1988)-::-RA Lowe et al.What is an appropriate emergency department visit? An explanation for the failure to agreeAnn Emerg Med(1994)-::-KV IsersonRefusal of care: The ethical dilemma (letter)Ann Emerg Med(1990)-::-Health Care Advisory BoardRedefining the Emergency Department: Five Strategies for Reducing Unnecessary Visits(1993)-::-Emergency Departments: Unevenly Affected by Growth and Change in Patient Use(January 1993)-::-K Grumbach et al.Primary care and public emergency department overcrowdingAm J Public Health(1993)-::-CD Stevens et al.Patients who leave the emergency department without medical evaluation: Severity of illness and need for acute careAnn Emerg Med(1991)-::-Hospital Statistics(1988-92)-::-DW Baker et al.Patients who leave a public hospital emergency department without being seen by a physicianJAMA(1991)"
Assessing values: Rationing emergency department care,RW Derlet et al.Refusing care to patients who present to an emergency departmentAnn Emerg Med(1990)-::-KV IsersonRefusal of care: The ethical dilemmaAnn Emerg Med(1990)-::-Regina v Dudley and Stephens 1881–1885 All England Law Reports p...-::-HT Englehardt
Five-level triage system more effective than three-level in tertiary emergency department,"DA Pollock et al.Data elements for emergency department systems, release 1.0 (DEEDS): a summary report. DEEDS Writing CommitteeAnn Emerg Med(1998)-::-RC Wuerz et al.Inconsistency of emergency department triageAnn Emerg Med(1998)-::-JM Gill et al.Disagreement among health care professionals about the urgent care needs of emergency department patientsAnn Emerg Med(1996)-::-R Beveridge et al.Reliability of the Canadian emergency department triage and acuity scale: interrater agreementAnn Emerg Med(1999)-::-V Bradley et al.Using data to discover new patterns: a triage quality indicatorJ Emerg Nurs(1996)-::-RC Wuerz et al.Inconsistency of emergency department triageAnn Emerg Med(1998)-::-JC BrillmanTriage: limitations in predicting need for emergent care and hospital admissionAnn Emerg Med(1996)-::-JC BrillmanTriage: limitations in predicting need for emergent care and hospital admissionAnn Emerg Med(1996)-::-RA Lowe et al.Refusing care to emergency department patients: evaluation of published triage guidelinesAnn Emerg Med(1994)-::-MJ GiffordEmergency physicians and patient assessments: urgency of need for medical careAnn Emerg Med(1980)-::-JM GillNon urgent use of the emergency department. Appropriate or not?Ann Emerg Med(1994)-::-PA Cameron et al.Emergency medicine in AustraliaAnn Emerg Med(1996)-::-Emergency Nurses AssociationTriage: Meeting the challenge(1997)-::-National Center for Injury Prevention and ControlData Elements for Emergency Department Systems, Release 1.0(1997)-::-CW Runyan et al.Emergency department record keeping and the potential for injury surveillanceJ Trauma(1992)"
Reliability of the Canadian Emergency Department Triage and Acuity Scale: Interrater Agreement,"RW Derlet et al.Refusing care to patients who present to an emergency department [see comments]Ann Emerg Med(1990)-::-RW Derlet et al.Prospective identification and triage of nonemergency patients out of an emergency department: A 5-year studyAnn Emerg Med(1995)-::-RA Lowe et al.Refusing care to emergency department of patients: Evaluation of published triage guidelinesAnn Emerg Med(1994)-::-JC Brillman et al.Triage: Limitations in predicting need for emergent care and hospital admissionAnn Emerg Med(1996)-::-L McDonald et al.Triage: A literature review 1985-1993Accid Emerg Nurs(1995)-::-JM Gill et al.Disagreement among health care professionals about the urgent care needs of emergency department patientsAnn Emerg Med(1996)-::-RA Lowe et al.Judging who needs emergency department care: A prerequisite for policy-makingAm J Emerg Med(1997)-::-JC Brillman et al.Does a physician visual assessment change triage?Am J Emerg Med(1997)-::-LJ Baraff et al.Direct costs of emergency medical care: A diagnosis-based case-mix classification systemAnn Emerg Med(1991)-::-RC BeveridgeThe President’s Letter(April 1-3, 1995)-::-Policy Document Australasian College of Emergency MedicineNational Triage ScaleEmerg Med(1994)-::-GJ FitzgeraldEmergency department triage [thesis](1989)"
